date,quantity_sold,product_name,day_of_week,month,is_weekend,season,lag_7,lag_14,rolling_mean_7
2026-04-30,4,Bottled Water,3,4,0,1,2.0,1.0,1.4285714285714286
2026-05-01,0,Bottled Water,4,5,0,1,3.0,2.0,1.7142857142857142
2026-05-02,1,Bottled Water,5,5,1,1,0.0,6.0,1.2857142857142858
2026-05-03,0,Bottled Water,6,5,1,1,3.0,2.0,1.4285714285714286
2026-05-04,0,Bottled Water,0,5,0,1,1.0,1.0,1.0
2026-05-05,0,Bottled Water,1,5,0,1,0.0,0.0,0.8571428571428571
2026-05-06,0,Bottled Water,2,5,0,1,1.0,3.0,0.8571428571428571
2026-05-07,3,Bottled Water,3,5,0,1,4.0,2.0,0.7142857142857143
2026-05-08,2,Bottled Water,4,5,0,1,0.0,3.0,0.5714285714285714
2026-05-09,6,Bottled Water,5,5,1,1,1.0,0.0,0.8571428571428571
2026-05-10,3,Bottled Water,6,5,1,1,0.0,3.0,1.5714285714285714
2026-05-11,4,Bottled Water,0,5,0,1,0.0,1.0,2.0
2026-05-12,1,Bottled Water,1,5,0,1,0.0,0.0,2.5714285714285716
2026-05-13,3,Bottled Water,2,5,0,1,0.0,1.0,2.7142857142857144
2026-05-14,0,Bottled Water,3,5,0,1,3.0,4.0,3.142857142857143
2026-05-15,2,Bottled Water,4,5,0,1,2.0,0.0,2.7142857142857144
2026-05-16,0,Bottled Water,5,5,1,1,6.0,1.0,2.7142857142857144
2026-05-17,0,Bottled Water,6,5,1,1,3.0,0.0,1.8571428571428572
2026-05-18,0,Bottled Water,0,5,0,1,4.0,0.0,1.4285714285714286
2026-05-19,1,Bottled Water,1,5,0,1,1.0,0.0,0.8571428571428571
2026-05-20,1,Bottled Water,2,5,0,1,3.0,0.0,0.8571428571428571
2026-05-21,0,Bottled Water,3,5,0,1,0.0,3.0,0.5714285714285714
2026-05-22,0,Bottled Water,4,5,0,1,2.0,2.0,0.5714285714285714
2026-05-23,1,Bottled Water,5,5,1,1,0.0,6.0,0.2857142857142857
2026-05-24,4,Bottled Water,6,5,1,1,0.0,3.0,0.42857142857142855
2026-05-25,1,Bottled Water,0,5,0,1,0.0,4.0,1.0
2026-05-26,0,Bottled Water,1,5,0,1,1.0,1.0,1.1428571428571428
2026-05-27,0,Bottled Water,2,5,0,1,1.0,3.0,1.0
2026-05-28,0,Bottled Water,3,5,0,1,0.0,0.0,0.8571428571428571
2026-05-29,5,Bottled Water,4,5,0,1,0.0,2.0,0.8571428571428571
2026-05-30,3,Bottled Water,5,5,1,1,1.0,0.0,1.5714285714285714
2026-05-31,0,Bottled Water,6,5,1,1,4.0,0.0,1.8571428571428572
2026-06-01,0,Bottled Water,0,6,0,2,1.0,0.0,1.2857142857142858
2026-06-02,4,Bottled Water,1,6,0,2,0.0,1.0,1.1428571428571428
2026-06-03,4,Bottled Water,2,6,0,2,0.0,1.0,1.7142857142857142
2026-06-04,4,Bottled Water,3,6,0,2,0.0,0.0,2.2857142857142856
2026-06-05,1,Bottled Water,4,6,0,2,5.0,0.0,2.857142857142857
2026-06-06,2,Bottled Water,5,6,1,2,3.0,1.0,2.2857142857142856
2026-06-07,0,Bottled Water,6,6,1,2,0.0,4.0,2.142857142857143
2026-06-08,0,Bottled Water,0,6,0,2,0.0,1.0,2.142857142857143
2026-06-09,0,Bottled Water,1,6,0,2,4.0,0.0,2.142857142857143
2026-06-10,0,Bottled Water,2,6,0,2,4.0,0.0,1.5714285714285714
2026-06-11,3,Bottled Water,3,6,0,2,4.0,0.0,1.0
2026-06-12,0,Bottled Water,4,6,0,2,1.0,5.0,0.8571428571428571
2026-06-13,0,Bottled Water,5,6,1,2,2.0,3.0,0.7142857142857143
2026-06-14,1,Bottled Water,6,6,1,2,0.0,0.0,0.42857142857142855
2026-06-15,2,Bottled Water,0,6,0,2,0.0,0.0,0.5714285714285714
2026-06-16,0,Bottled Water,1,6,0,2,0.0,4.0,0.8571428571428571
2026-06-17,0,Bottled Water,2,6,0,2,0.0,4.0,0.8571428571428571
2026-06-18,2,Bottled Water,3,6,0,2,3.0,4.0,0.8571428571428571
2026-06-19,0,Bottled Water,4,6,0,2,0.0,1.0,0.7142857142857143
2026-06-20,0,Bottled Water,5,6,1,2,0.0,2.0,0.7142857142857143
2026-06-21,1,Bottled Water,6,6,1,2,1.0,0.0,0.7142857142857143
2026-06-22,0,Bottled Water,0,6,0,2,2.0,0.0,0.7142857142857143
2026-06-23,1,Bottled Water,1,6,0,2,0.0,0.0,0.42857142857142855
2026-06-24,0,Bottled Water,2,6,0,2,0.0,0.0,0.5714285714285714
2026-06-25,3,Bottled Water,3,6,0,2,2.0,3.0,0.5714285714285714
2026-06-26,1,Bottled Water,4,6,0,2,0.0,0.0,0.7142857142857143
2026-06-27,1,Bottled Water,5,6,1,2,0.0,0.0,0.8571428571428571
2026-06-28,0,Bottled Water,6,6,1,2,1.0,1.0,1.0
2026-06-29,0,Bottled Water,0,6,0,2,0.0,2.0,0.8571428571428571
2026-06-30,0,Bottled Water,1,6,0,2,1.0,0.0,0.8571428571428571
2026-07-01,0,Bottled Water,2,7,0,2,0.0,0.0,0.7142857142857143
2026-07-02,2,Bottled Water,3,7,0,2,3.0,2.0,0.7142857142857143
2026-07-03,0,Bottled Water,4,7,0,2,1.0,0.0,0.5714285714285714
2026-07-04,7,Bottled Water,5,7,1,2,1.0,0.0,0.42857142857142855
2026-07-05,2,Bottled Water,6,7,1,2,0.0,1.0,1.2857142857142858
2026-07-06,0,Bottled Water,0,7,0,2,0.0,0.0,1.5714285714285714
2026-07-07,1,Bottled Water,1,7,0,2,0.0,1.0,1.5714285714285714
2026-04-23,1,Caesar Salad,3,4,0,1,0.0,2.0,0.42857142857142855
2026-04-24,0,Caesar Salad,4,4,0,1,0.0,1.0,0.5714285714285714
2026-04-25,1,Caesar Salad,5,4,1,1,3.0,0.0,0.5714285714285714
2026-04-26,0,Caesar Salad,6,4,1,1,0.0,0.0,0.2857142857142857
2026-04-27,1,Caesar Salad,0,4,0,1,0.0,1.0,0.2857142857142857
2026-04-28,1,Caesar Salad,1,4,0,1,0.0,0.0,0.42857142857142855
2026-04-29,0,Caesar Salad,2,4,0,1,0.0,3.0,0.5714285714285714
2026-04-30,2,Caesar Salad,3,4,0,1,1.0,0.0,0.5714285714285714
2026-05-01,5,Caesar Salad,4,5,0,1,0.0,0.0,0.7142857142857143
2026-05-02,3,Caesar Salad,5,5,1,1,1.0,3.0,1.4285714285714286
2026-05-03,0,Caesar Salad,6,5,1,1,0.0,0.0,1.7142857142857142
2026-05-04,0,Caesar Salad,0,5,0,1,1.0,0.0,1.7142857142857142
2026-05-05,0,Caesar Salad,1,5,0,1,1.0,0.0,1.5714285714285714
2026-05-06,1,Caesar Salad,2,5,0,1,0.0,0.0,1.4285714285714286
2026-05-07,0,Caesar Salad,3,5,0,1,2.0,1.0,1.5714285714285714
2026-05-08,0,Caesar Salad,4,5,0,1,5.0,0.0,1.2857142857142858
2026-05-09,1,Caesar Salad,5,5,1,1,3.0,1.0,0.5714285714285714
2026-05-10,4,Caesar Salad,6,5,1,1,0.0,0.0,0.2857142857142857
2026-05-11,0,Caesar Salad,0,5,0,1,0.0,1.0,0.8571428571428571
2026-05-12,0,Caesar Salad,1,5,0,1,0.0,1.0,0.8571428571428571
2026-05-13,2,Caesar Salad,2,5,0,1,1.0,0.0,0.8571428571428571
2026-05-14,0,Caesar Salad,3,5,0,1,0.0,2.0,1.0
2026-05-15,0,Caesar Salad,4,5,0,1,0.0,5.0,1.0
2026-05-16,2,Caesar Salad,5,5,1,1,1.0,3.0,1.0
2026-05-17,1,Caesar Salad,6,5,1,1,4.0,0.0,1.1428571428571428
2026-05-18,1,Caesar Salad,0,5,0,1,0.0,0.0,0.7142857142857143
2026-05-19,1,Caesar Salad,1,5,0,1,0.0,0.0,0.8571428571428571
2026-05-20,0,Caesar Salad,2,5,0,1,2.0,1.0,1.0
2026-05-21,0,Caesar Salad,3,5,0,1,0.0,0.0,0.7142857142857143
2026-05-22,0,Caesar Salad,4,5,0,1,0.0,0.0,0.7142857142857143
2026-05-23,7,Caesar Salad,5,5,1,1,2.0,1.0,0.7142857142857143
2026-05-24,1,Caesar Salad,6,5,1,1,1.0,4.0,1.4285714285714286
2026-05-25,3,Caesar Salad,0,5,0,1,1.0,0.0,1.4285714285714286
2026-05-26,0,Caesar Salad,1,5,0,1,1.0,0.0,1.7142857142857142
2026-05-27,0,Caesar Salad,2,5,0,1,0.0,2.0,1.5714285714285714
2026-05-28,0,Caesar Salad,3,5,0,1,0.0,0.0,1.5714285714285714
2026-05-29,0,Caesar Salad,4,5,0,1,0.0,0.0,1.5714285714285714
2026-05-30,3,Caesar Salad,5,5,1,1,7.0,2.0,1.5714285714285714
2026-05-31,2,Caesar Salad,6,5,1,1,1.0,1.0,1.0
2026-06-01,1,Caesar Salad,0,6,0,2,3.0,1.0,1.1428571428571428
2026-06-02,0,Caesar Salad,1,6,0,2,0.0,1.0,0.8571428571428571
2026-06-03,0,Caesar Salad,2,6,0,2,0.0,0.0,0.8571428571428571
2026-06-04,0,Caesar Salad,3,6,0,2,0.0,0.0,0.8571428571428571
2026-06-05,0,Caesar Salad,4,6,0,2,0.0,0.0,0.8571428571428571
2026-06-06,1,Caesar Salad,5,6,1,2,3.0,7.0,0.8571428571428571
2026-06-07,1,Caesar Salad,6,6,1,2,2.0,1.0,0.5714285714285714
2026-06-08,0,Caesar Salad,0,6,0,2,1.0,3.0,0.42857142857142855
2026-06-09,3,Caesar Salad,1,6,0,2,0.0,0.0,0.2857142857142857
2026-06-10,0,Caesar Salad,2,6,0,2,0.0,0.0,0.7142857142857143
2026-06-11,0,Caesar Salad,3,6,0,2,0.0,0.0,0.7142857142857143
2026-06-12,1,Caesar Salad,4,6,0,2,0.0,0.0,0.7142857142857143
2026-06-13,2,Caesar Salad,5,6,1,2,1.0,3.0,0.8571428571428571
2026-06-14,4,Caesar Salad,6,6,1,2,1.0,2.0,1.0
2026-06-15,2,Caesar Salad,0,6,0,2,0.0,1.0,1.4285714285714286
2026-06-16,0,Caesar Salad,1,6,0,2,3.0,0.0,1.7142857142857142
2026-06-17,2,Caesar Salad,2,6,0,2,0.0,0.0,1.2857142857142858
2026-06-18,4,Caesar Salad,3,6,0,2,0.0,0.0,1.5714285714285714
2026-06-19,7,Caesar Salad,4,6,0,2,1.0,0.0,2.142857142857143
2026-06-20,2,Caesar Salad,5,6,1,2,2.0,1.0,3.0
2026-06-21,0,Caesar Salad,6,6,1,2,4.0,1.0,3.0
2026-06-22,1,Caesar Salad,0,6,0,2,2.0,0.0,2.4285714285714284
2026-06-23,0,Caesar Salad,1,6,0,2,0.0,3.0,2.2857142857142856
2026-06-24,0,Caesar Salad,2,6,0,2,2.0,0.0,2.2857142857142856
2026-06-25,1,Caesar Salad,3,6,0,2,4.0,0.0,2.0
2026-06-26,1,Caesar Salad,4,6,0,2,7.0,1.0,1.5714285714285714
2026-06-27,1,Caesar Salad,5,6,1,2,2.0,2.0,0.7142857142857143
2026-06-28,1,Caesar Salad,6,6,1,2,0.0,4.0,0.5714285714285714
2026-06-29,0,Caesar Salad,0,6,0,2,1.0,2.0,0.7142857142857143
2026-06-30,0,Caesar Salad,1,6,0,2,0.0,0.0,0.5714285714285714
2026-07-01,0,Caesar Salad,2,7,0,2,0.0,2.0,0.5714285714285714
2026-07-02,0,Caesar Salad,3,7,0,2,1.0,4.0,0.5714285714285714
2026-07-03,3,Caesar Salad,4,7,0,2,1.0,7.0,0.42857142857142855
2026-07-04,0,Caesar Salad,5,7,1,2,1.0,2.0,0.7142857142857143
2026-07-05,3,Caesar Salad,6,7,1,2,1.0,0.0,0.5714285714285714
2026-07-06,0,Caesar Salad,0,7,0,2,0.0,1.0,0.8571428571428571
2026-07-07,1,Caesar Salad,1,7,0,2,0.0,0.0,0.8571428571428571
2026-07-08,1,Caesar Salad,2,7,0,2,0.0,0.0,1.0
2026-04-24,2,Cheesy Breadsticks,4,4,0,1,5.0,3.0,2.2857142857142856
2026-04-25,5,Cheesy Breadsticks,5,4,1,1,1.0,0.0,1.8571428571428572
2026-04-26,0,Cheesy Breadsticks,6,4,1,1,4.0,1.0,2.4285714285714284
2026-04-27,1,Cheesy Breadsticks,0,4,0,1,1.0,0.0,1.8571428571428572
2026-04-28,3,Cheesy Breadsticks,1,4,0,1,3.0,3.0,1.8571428571428572
2026-04-29,0,Cheesy Breadsticks,2,4,0,1,2.0,0.0,1.8571428571428572
2026-04-30,0,Cheesy Breadsticks,3,4,0,1,0.0,0.0,1.5714285714285714
2026-05-01,3,Cheesy Breadsticks,4,5,0,1,2.0,5.0,1.5714285714285714
2026-05-02,1,Cheesy Breadsticks,5,5,1,1,5.0,1.0,1.7142857142857142
2026-05-03,0,Cheesy Breadsticks,6,5,1,1,0.0,4.0,1.1428571428571428
2026-05-04,2,Cheesy Breadsticks,0,5,0,1,1.0,1.0,1.1428571428571428
2026-05-05,0,Cheesy Breadsticks,1,5,0,1,3.0,3.0,1.2857142857142858
2026-05-06,6,Cheesy Breadsticks,2,5,0,1,0.0,2.0,0.8571428571428571
2026-05-07,2,Cheesy Breadsticks,3,5,0,1,0.0,0.0,1.7142857142857142
2026-05-08,2,Cheesy Breadsticks,4,5,0,1,3.0,2.0,2.0
2026-05-09,2,Cheesy Breadsticks,5,5,1,1,1.0,5.0,1.8571428571428572
2026-05-10,6,Cheesy Breadsticks,6,5,1,1,0.0,0.0,2.0
2026-05-11,0,Cheesy Breadsticks,0,5,0,1,2.0,1.0,2.857142857142857
2026-05-12,0,Cheesy Breadsticks,1,5,0,1,0.0,3.0,2.5714285714285716
2026-05-13,5,Cheesy Breadsticks,2,5,0,1,6.0,0.0,2.5714285714285716
2026-05-14,1,Cheesy Breadsticks,3,5,0,1,2.0,0.0,2.4285714285714284
2026-05-15,3,Cheesy Breadsticks,4,5,0,1,2.0,3.0,2.2857142857142856
2026-05-16,5,Cheesy Breadsticks,5,5,1,1,2.0,1.0,2.4285714285714284
2026-05-17,3,Cheesy Breadsticks,6,5,1,1,6.0,0.0,2.857142857142857
2026-05-18,0,Cheesy Breadsticks,0,5,0,1,0.0,2.0,2.4285714285714284
2026-05-19,2,Cheesy Breadsticks,1,5,0,1,0.0,0.0,2.4285714285714284
2026-05-20,0,Cheesy Breadsticks,2,5,0,1,5.0,6.0,2.7142857142857144
2026-05-21,2,Cheesy Breadsticks,3,5,0,1,1.0,2.0,2.0
2026-05-22,6,Cheesy Breadsticks,4,5,0,1,3.0,2.0,2.142857142857143
2026-05-23,1,Cheesy Breadsticks,5,5,1,1,5.0,2.0,2.5714285714285716
2026-05-24,4,Cheesy Breadsticks,6,5,1,1,3.0,6.0,2.0
2026-05-25,5,Cheesy Breadsticks,0,5,0,1,0.0,0.0,2.142857142857143
2026-05-26,1,Cheesy Breadsticks,1,5,0,1,2.0,0.0,2.857142857142857
2026-05-27,2,Cheesy Breadsticks,2,5,0,1,0.0,5.0,2.7142857142857144
2026-05-28,2,Cheesy Breadsticks,3,5,0,1,2.0,1.0,3.0
2026-05-29,2,Cheesy Breadsticks,4,5,0,1,6.0,3.0,3.0
2026-05-30,2,Cheesy Breadsticks,5,5,1,1,1.0,5.0,2.4285714285714284
2026-05-31,0,Cheesy Breadsticks,6,5,1,1,4.0,3.0,2.5714285714285716
2026-06-01,0,Cheesy Breadsticks,0,6,0,2,5.0,0.0,2.0
2026-06-02,1,Cheesy Breadsticks,1,6,0,2,1.0,2.0,1.2857142857142858
2026-06-03,1,Cheesy Breadsticks,2,6,0,2,2.0,0.0,1.2857142857142858
2026-06-04,6,Cheesy Breadsticks,3,6,0,2,2.0,2.0,1.1428571428571428
2026-06-05,1,Cheesy Breadsticks,4,6,0,2,2.0,6.0,1.7142857142857142
2026-06-06,2,Cheesy Breadsticks,5,6,1,2,2.0,1.0,1.5714285714285714
2026-06-07,2,Cheesy Breadsticks,6,6,1,2,0.0,4.0,1.5714285714285714
2026-06-08,0,Cheesy Breadsticks,0,6,0,2,0.0,5.0,1.8571428571428572
2026-06-09,1,Cheesy Breadsticks,1,6,0,2,1.0,1.0,1.8571428571428572
2026-06-10,3,Cheesy Breadsticks,2,6,0,2,1.0,2.0,1.8571428571428572
2026-06-11,1,Cheesy Breadsticks,3,6,0,2,6.0,2.0,2.142857142857143
2026-06-12,3,Cheesy Breadsticks,4,6,0,2,1.0,2.0,1.4285714285714286
2026-06-13,7,Cheesy Breadsticks,5,6,1,2,2.0,2.0,1.7142857142857142
2026-06-14,0,Cheesy Breadsticks,6,6,1,2,2.0,0.0,2.4285714285714284
2026-06-15,0,Cheesy Breadsticks,0,6,0,2,0.0,0.0,2.142857142857143
2026-06-16,3,Cheesy Breadsticks,1,6,0,2,1.0,1.0,2.142857142857143
2026-06-17,3,Cheesy Breadsticks,2,6,0,2,3.0,1.0,2.4285714285714284
2026-06-18,2,Cheesy Breadsticks,3,6,0,2,1.0,6.0,2.4285714285714284
2026-06-19,5,Cheesy Breadsticks,4,6,0,2,3.0,1.0,2.5714285714285716
2026-06-20,5,Cheesy Breadsticks,5,6,1,2,7.0,2.0,2.857142857142857
2026-06-21,0,Cheesy Breadsticks,6,6,1,2,0.0,2.0,2.5714285714285716
2026-06-22,2,Cheesy Breadsticks,0,6,0,2,0.0,0.0,2.5714285714285716
2026-06-23,0,Cheesy Breadsticks,1,6,0,2,3.0,1.0,2.857142857142857
2026-06-24,2,Cheesy Breadsticks,2,6,0,2,3.0,3.0,2.4285714285714284
2026-06-25,0,Cheesy Breadsticks,3,6,0,2,2.0,1.0,2.2857142857142856
2026-06-26,2,Cheesy Breadsticks,4,6,0,2,5.0,3.0,2.0
2026-06-27,3,Cheesy Breadsticks,5,6,1,2,5.0,7.0,1.5714285714285714
2026-06-28,0,Cheesy Breadsticks,6,6,1,2,0.0,0.0,1.2857142857142858
2026-06-29,0,Cheesy Breadsticks,0,6,0,2,2.0,0.0,1.2857142857142858
2026-06-30,2,Cheesy Breadsticks,1,6,0,2,0.0,3.0,1.0
2026-07-01,3,Cheesy Breadsticks,2,7,0,2,2.0,3.0,1.2857142857142858
2026-07-02,4,Cheesy Breadsticks,3,7,0,2,0.0,2.0,1.4285714285714286
2026-07-03,6,Cheesy Breadsticks,4,7,0,2,2.0,5.0,2.0
2026-07-04,5,Cheesy Breadsticks,5,7,1,2,3.0,5.0,2.5714285714285716
2026-07-05,4,Cheesy Breadsticks,6,7,1,2,0.0,0.0,2.857142857142857
2026-07-06,3,Cheesy Breadsticks,0,7,0,2,0.0,2.0,3.4285714285714284
2026-07-07,5,Cheesy Breadsticks,1,7,0,2,2.0,0.0,3.857142857142857
2026-07-08,1,Cheesy Breadsticks,2,7,0,2,3.0,2.0,4.285714285714286
2026-04-23,6,Chicken Wings,3,4,0,1,4.0,3.0,6.0
2026-04-24,4,Chicken Wings,4,4,0,1,15.0,4.0,6.285714285714286
2026-04-25,11,Chicken Wings,5,4,1,1,5.0,1.0,4.714285714285714
2026-04-26,1,Chicken Wings,6,4,1,1,4.0,0.0,5.571428571428571
2026-04-27,1,Chicken Wings,0,4,0,1,4.0,7.0,5.142857142857143
2026-04-28,4,Chicken Wings,1,4,0,1,5.0,2.0,4.714285714285714
2026-04-29,7,Chicken Wings,2,4,0,1,5.0,2.0,4.571428571428571
2026-04-30,1,Chicken Wings,3,4,0,1,6.0,4.0,4.857142857142857
2026-05-01,6,Chicken Wings,4,5,0,1,4.0,15.0,4.142857142857143
2026-05-02,5,Chicken Wings,5,5,1,1,11.0,5.0,4.428571428571429
2026-05-03,5,Chicken Wings,6,5,1,1,1.0,4.0,3.5714285714285716
2026-05-04,4,Chicken Wings,0,5,0,1,1.0,4.0,4.142857142857143
2026-05-05,7,Chicken Wings,1,5,0,1,4.0,5.0,4.571428571428571
2026-05-06,10,Chicken Wings,2,5,0,1,7.0,5.0,5.0
2026-05-07,0,Chicken Wings,3,5,0,1,1.0,6.0,5.428571428571429
2026-05-08,2,Chicken Wings,4,5,0,1,6.0,4.0,5.285714285714286
2026-05-09,0,Chicken Wings,5,5,1,1,5.0,11.0,4.714285714285714
2026-05-10,5,Chicken Wings,6,5,1,1,5.0,1.0,4.0
2026-05-11,6,Chicken Wings,0,5,0,1,4.0,1.0,4.0
2026-05-12,2,Chicken Wings,1,5,0,1,7.0,4.0,4.285714285714286
2026-05-13,2,Chicken Wings,2,5,0,1,10.0,7.0,3.5714285714285716
2026-05-14,0,Chicken Wings,3,5,0,1,0.0,1.0,2.4285714285714284
2026-05-15,1,Chicken Wings,4,5,0,1,2.0,6.0,2.4285714285714284
2026-05-16,6,Chicken Wings,5,5,1,1,0.0,5.0,2.2857142857142856
2026-05-17,6,Chicken Wings,6,5,1,1,5.0,5.0,3.142857142857143
